GeneA,GeneB,Direction,Sign
YDR247W,YBL066C,1,0
YLR096W,YOL082W,1,0
YPL153C,YDR076W,1,0
YHR135C,YGR159C,1,0
YPL031C,YPR160W,1,0
YFR014C,YJL137C,1,0
YGL180W,YBL078C,1,0
YKL166C,YDR158W,1,0
YGL158W,YGR223C,1,0
YOR061W,YDR382W,1,0
YHR135C,YHL019C,1,0
YPL031C,YJL137C,1,0
YDR477W,YER122C,1,0
YGL059W,YKL093W,1,0
YGR040W,YOR245C,1,0
YGL158W,YHL027W,1,0
YPL150W,YNL077W,1,0
YOR233W,YML096W,1,0
YOR233W,YMR165C,1,0
YBR160W,YKL129C,1,0
YCR077C,YKL166C,1,0
YPR120C,YHR118C,1,0
YOR061W,YBR160W,1,0
YNL154C,YMR153W,1,0
YNL154C,YHR131C,1,0
YBR160W,YML065W,1,0
YKL171W,YDR023W,1,0
YNL154C,YMR190C,1,0
YNL154C,YOR181W,1,0
YGL180W,YLR125W,1,0
YPL031C,YNL045W,1,0
YJL164C,YPR143W,1,0
YBL016W,YHR084W,1,0
YKL166C,YAR019C,1,0
YHR135C,YGL248W,1,0
YDR247W,YGL184C,1,0
YLR248W,YDR171W,1,0
YJL106W,YMR229C,1,0
YNL154C,YBL055C,1,0
YPL031C,YLR016C,1,0
YJL164C,YKR068C,1,0
YJR059W,YKL121W,1,0
YPL209C,YMR004W,1,0
YGL158W,YNL272C,1,0
YHR082C,YPL048W,1,0
YBL016W,YNL271C,1,0
YKL101W,YER098W,1,0
YGL179C,YGR038W,1,0
YDL214C,YGR276C,1,0
YGL059W,YNL074C,1,0
YNL154C,YLR242C,1,0
YGR052W,YMR165C,1,0
YBR160W,YMR165C,1,0
YFR014C,YFR033C,1,0
YHR082C,YMR184W,1,0
YMR139W,YLR258W,1,0
YGL158W,YMR155W,1,0
YIL095W,YLR251W,1,0
YGL180W,YNL304W,1,0
YJL187C,YGR038W,1,0
YJL164C,YKL093W,1,0
YGL158W,YJR142W,1,0
YJL164C,YNL245C,1,0
YIL095W,YER155C,1,0
YGL180W,YER034W,1,0
YJL164C,YPL077C,1,0
YJL164C,YML048W,1,0
YJL057C,YKL096WA,1,0
YIL095W,YNL272C,1,0
YOL113W,YER122C,1,0
YIL095W,YLR460C,1,0
YKL116C,YNL022C,1,0
YGL059W,YNL117W,1,0
YJL187C,YKL051W,1,0
YDR477W,YER040W,1,0
YJL164C,YDR468C,1,0
YGL059W,YPL056C,1,0
YFR014C,YBR267W,1,0
YPL031C,YLR102C,1,0
YBR160W,YGR035C,1,0
YJL095W,YOR196C,1,0
YGL180W,YDL013W,1,0
YHL007C,YOR113W,1,0
YNL154C,YER013W,1,0
YPL031C,YLR146C,1,0
YJL095W,YDR226W,1,0
YGL179C,YPL139C,1,0
YBR059C,YKR092C,1,0
YKL116C,YKL116C,1,0
YGL180W,YNL054WA,1,0
YBR160W,YPL194W,1,0
YHL007C,YOL091W,1,0
YKL116C,YDR134C,1,0
YPL026C,YJL029C,1,0
YHR079C,YDR328C,1,0
YPL042C,YOR042W,1,0
YBR160W,YDR348C,1,0
YGL179C,YKL206C,1,0
YJR059W,YNR039C,1,0
YGL158W,YDL070W,1,0
YPL031C,YOR298CA,1,0
YJL095W,YDL220C,1,0
YDR247W,YKL093W,1,0
YBL088C,YDR369C,1,0
YPL031C,YOL147C,1,0
YPL031C,YLR018C,1,0
YPL031C,YNL304W,1,0
YDL028C,YHR209W,1,0
YPL031C,YGL091C,1,0
YBL016W,YPL049C,1,0
YNL154C,YIL016W,1,0
YPL031C,YBR164C,1,0
YIL095W,YER036C,1,0
YAL017W,YAR019C,1,0
YPL141C,YGL207W,1,0
YHR082C,YML037C,1,0
YGL180W,YCL029C,1,0
YHR135C,YHR014W,1,0
YNL154C,YJL084C,1,0
YOR233W,YDL153C,1,0
YOR267C,YGL051W,1,0
YKL166C,YPL203W,0,0
YMR139W,YMR205C,1,0
YPL031C,YJR097W,1,0
YNL307C,YDR518W,1,0
YNL154C,YNL045W,1,0
YJL187C,YDL230W,1,0
YPL031C,YML035C,1,0
YNL154C,YOR239W,1,0
YJL164C,YNL098C,1,0
YKL101W,YBL064C,1,0
YGL059W,YKR048C,1,0
YKL166C,YGL075C,1,0
YHR082C,YGR027WA,1,0
YJL164C,YOR386W,1,0
YBL016W,YNR019W,1,0
YBL088C,YDL101C,1,0
YPR119W,YFR027W,1,0
YGR040W,YNL054WA,1,0
YOR267C,YDL153C,1,0
YPL031C,YNL263C,1,0
YIL095W,YDL223C,1,0
YJL095W,YNL186W,1,0
YBL016W,YBR055C,1,0
YKL166C,YHR158C,1,0
YIL095W,YPR137CA,1,0
YGL019W,YNL131W,1,0
YPL031C,YNL227C,1,0
YBR160W,YNR047W,1,0
YNL154C,YMR165C,1,0
YGL158W,YML037C,1,0
YGL180W,YIL091C,1,0
YHL007C,YMR153W,1,0
YPR119W,YEL032W,1,0
YJL106W,YNL284CA,1,0
YKL139W,YDL140C,1,0
YJR059W,YMR099C,1,0
YPL031C,YDL131W,1,0
YKL101W,YJR141W,1,0
