Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta1.25_mu0.020_omega4.5_seed122815_optimalForest.sif	306	9	297	1596	0	0.000000
prizes_beta1.25_mu0.005_omega1.0_seed122815_optimalForest.sif	358	9	349	1596	0	0.000000
prizes_beta1.25_mu0.020_omega4.0_seed122815_optimalForest.sif	306	9	297	1596	0	0.000000
prizes_beta1.00_mu0.050_omega6.5_seed122815_optimalForest.sif	187	3	184	1596	0	0.000000
prizes_beta1.00_mu0.085_omega9.5_seed122815_optimalForest.sif	130	2	128	1596	0	0.000000
prizes_beta1.00_mu0.085_omega2.5_seed122815_optimalForest.sif	130	1	129	1596	0	0.000000
prizes_beta1.00_mu0.085_omega6.5_seed122815_optimalForest.sif	130	1	129	1596	0	0.000000
prizes_beta1.00_mu0.090_omega9.5_seed122815_optimalForest.sif	116	2	114	1596	0	0.000000
prizes_beta1.25_mu0.025_omega5.0_seed122815_optimalForest.sif	293	8	285	1596	0	0.000000
prizes_beta1.00_mu0.080_omega3.5_seed122815_optimalForest.sif	139	2	137	1596	0	0.000000
prizes_beta1.00_mu0.075_omega2.5_seed122815_optimalForest.sif	140	2	138	1596	0	0.000000
prizes_beta1.00_mu0.095_omega9.5_seed122815_optimalForest.sif	114	2	112	1596	0	0.000000
prizes_beta1.00_mu0.095_omega9.0_seed122815_optimalForest.sif	114	2	112	1596	0	0.000000
prizes_beta1.25_mu0.030_omega4.5_seed122815_optimalForest.sif	286	8	278	1596	0	0.000000
prizes_beta1.25_mu0.030_omega8.5_seed122815_optimalForest.sif	286	8	278	1596	0	0.000000
prizes_beta1.25_mu0.035_omega4.0_seed122815_optimalForest.sif	265	7	258	1596	0	0.000000
prizes_beta0.75_mu0.095_omega6.5_seed122815_optimalForest.sif	38	1	37	1596	0	0.000000
prizes_beta1.25_mu0.045_omega10.0_seed122815_optimalForest.sif	250	5	245	1596	0	0.000000
prizes_beta1.25_mu0.050_omega6.0_seed122815_optimalForest.sif	246	5	241	1596	0	0.000000
prizes_beta1.25_mu0.015_omega8.0_seed122815_optimalForest.sif	325	9	316	1596	0	0.000000
prizes_beta1.25_mu0.045_omega8.0_seed122815_optimalForest.sif	250	5	245	1596	0	0.000000
prizes_beta1.25_mu0.005_omega2.5_seed122815_optimalForest.sif	358	9	349	1596	0	0.000000
prizes_beta1.25_mu0.040_omega3.5_seed122815_optimalForest.sif	260	7	253	1596	0	0.000000
prizes_beta1.00_mu0.085_omega5.0_seed122815_optimalForest.sif	130	1	129	1596	0	0.000000
prizes_beta1.25_mu0.000_omega9.5_seed122815_optimalForest.sif	368	11	357	1596	0	0.000000
prizes_beta0.75_mu0.095_omega7.5_seed122815_optimalForest.sif	43	2	41	1596	0	0.000000
prizes_beta1.25_mu0.045_omega2.0_seed122815_optimalForest.sif	250	5	245	1596	0	0.000000
prizes_beta1.25_mu0.045_omega3.0_seed122815_optimalForest.sif	250	5	245	1596	0	0.000000
prizes_beta1.00_mu0.010_omega6.0_seed122815_optimalForest.sif	265	5	260	1596	0	0.000000
prizes_beta1.25_mu0.015_omega6.0_seed122815_optimalForest.sif	325	9	316	1596	0	0.000000
prizes_beta1.25_mu0.045_omega7.0_seed122815_optimalForest.sif	250	5	245	1596	0	0.000000
prizes_beta1.25_mu0.020_omega5.0_seed122815_optimalForest.sif	306	9	297	1596	0	0.000000
prizes_beta1.25_mu0.070_omega7.5_seed122815_optimalForest.sif	206	3	203	1596	0	0.000000
prizes_beta1.25_mu0.020_omega3.5_seed122815_optimalForest.sif	306	9	297	1596	0	0.000000
prizes_beta1.00_mu0.090_omega5.0_seed122815_optimalForest.sif	127	1	126	1596	0	0.000000
prizes_beta1.00_mu0.090_omega6.0_seed122815_optimalForest.sif	128	2	126	1596	0	0.000000
prizes_beta1.25_mu0.060_omega4.5_seed122815_optimalForest.sif	217	3	214	1596	0	0.000000
prizes_beta0.75_mu0.100_omega5.5_seed122815_optimalForest.sif	36	1	35	1596	0	0.000000
prizes_beta1.25_mu0.080_omega4.0_seed122815_optimalForest.sif	195	3	192	1596	0	0.000000
prizes_beta1.25_mu0.045_omega2.5_seed122815_optimalForest.sif	250	5	245	1596	0	0.000000
prizes_beta1.25_mu0.010_omega6.0_seed122815_optimalForest.sif	337	9	328	1596	0	0.000000
prizes_beta1.25_mu0.095_omega6.5_seed122815_optimalForest.sif	186	3	183	1596	0	0.000000
prizes_beta1.25_mu0.030_omega8.0_seed122815_optimalForest.sif	286	8	278	1596	0	0.000000
prizes_beta1.00_mu0.100_omega6.0_seed122815_optimalForest.sif	111	2	109	1596	0	0.000000
prizes_beta1.00_mu0.040_omega7.5_seed122815_optimalForest.sif	195	3	192	1596	0	0.000000
prizes_beta1.00_mu0.050_omega3.5_seed122815_optimalForest.sif	187	3	184	1596	0	0.000000
prizes_beta1.00_mu0.060_omega2.5_seed122815_optimalForest.sif	173	3	170	1596	0	0.000000
prizes_beta1.25_mu0.060_omega3.0_seed122815_optimalForest.sif	217	3	214	1596	0	0.000000
prizes_beta1.25_mu0.095_omega9.0_seed122815_optimalForest.sif	164	3	161	1596	0	0.000000
prizes_beta1.25_mu0.095_omega7.5_seed122815_optimalForest.sif	186	3	183	1596	0	0.000000
prizes_beta1.25_mu0.060_omega10.0_seed122815_optimalForest.sif	217	3	214	1596	0	0.000000
prizes_beta0.75_mu0.100_omega2.5_seed122815_optimalForest.sif	37	1	36	1596	0	0.000000
prizes_beta1.50_mu0.000_omega2.5_seed122815_optimalForest.sif	431	11	420	1596	0	0.000000
prizes_beta1.25_mu0.075_omega4.0_seed122815_optimalForest.sif	200	3	197	1596	0	0.000000
prizes_beta1.50_mu0.005_omega0.5_seed122815_optimalForest.sif	416	9	407	1596	0	0.000000
prizes_beta1.25_mu0.090_omega4.0_seed122815_optimalForest.sif	187	3	184	1596	0	0.000000
prizes_beta1.25_mu0.070_omega10.0_seed122815_optimalForest.sif	206	3	203	1596	0	0.000000
